  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -90.000  -9.6300   0.00767   0.00185  -0.1012   0.5639   0.3759
   0.000   0.4702   0.00767   0.00185  -0.1012   0.5639   0.3759
   0.500   0.5234   0.00739   0.00193  -0.1009   0.5454   0.5209
   1.000   0.5760   0.00716   0.00206  -0.1002   0.5286   0.6712
   1.500   0.6273   0.00697   0.00223  -0.0991   0.5133   0.8093
   2.000   0.6745   0.00691   0.00244  -0.0967   0.4999   0.9373
   2.500   0.7463   0.00713   0.00261  -0.1000   0.4862   0.9886
   3.000   0.8210   0.00739   0.00278  -0.1042   0.4733   1.0000
   3.500   0.8688   0.00759   0.00292  -0.1025   0.4620   1.0000
   4.000   0.9185   0.00781   0.00308  -0.1012   0.4507   1.0000
   4.500   0.9692   0.00804   0.00327  -0.1002   0.4390   1.0000
   5.000   1.0201   0.00831   0.00349  -0.0993   0.4268   1.0000
   5.500   1.0715   0.00858   0.00373  -0.0984   0.4135   1.0000
   6.000   1.1220   0.00889   0.00399  -0.0975   0.3984   1.0000
   6.500   1.1721   0.00923   0.00428  -0.0965   0.3805   1.0000
   7.000   1.2209   0.00963   0.00462  -0.0953   0.3602   1.0000
   7.500   1.2675   0.01012   0.00503  -0.0938   0.3380   1.0000
   8.000   1.3119   0.01069   0.00551  -0.0919   0.3134   1.0000
   8.500   1.3516   0.01135   0.00608  -0.0892   0.2872   1.0000
   9.000   1.3879   0.01217   0.00677  -0.0860   0.2587   1.0000
   9.500   1.4217   0.01315   0.00761  -0.0825   0.2281   1.0000
  10.000   1.4522   0.01432   0.00864  -0.0788   0.1968   1.0000
  10.500   1.4794   0.01570   0.00987  -0.0747   0.1666   1.0000
  11.000   1.5038   0.01729   0.01133  -0.0706   0.1397   1.0000
  11.500   1.5255   0.01911   0.01304  -0.0665   0.1167   1.0000
  12.500   1.5646   0.02339   0.01722  -0.0590   0.0835   1.0000
  13.000   1.5812   0.02595   0.01978  -0.0556   0.0722   1.0000
  13.500   1.5963   0.02881   0.02265  -0.0526   0.0633   1.0000
  14.500   1.6198   0.03565   0.02960  -0.0475   0.0507   1.0000
  15.000   1.6272   0.03983   0.03385  -0.0455   0.0463   1.0000
  15.500   1.6330   0.04440   0.03852  -0.0440   0.0427   1.0000
  16.000   1.6360   0.04949   0.04372  -0.0428   0.0397   1.0000
  16.500   1.6357   0.05515   0.04949  -0.0420   0.0371   1.0000
  17.000   1.6316   0.06145   0.05591  -0.0416   0.0350   1.0000
  17.500   1.6277   0.06790   0.06250  -0.0416   0.0331   1.0000
  18.000   1.6209   0.07487   0.06962  -0.0420   0.0314   1.0000
  18.500   1.6097   0.08253   0.07741  -0.0428   0.0301   1.0000
  19.000   1.6001   0.09014   0.08517  -0.0439   0.0287   1.0000
  19.500   1.5885   0.09815   0.09333  -0.0454   0.0275   1.0000
  20.000   1.5764   0.10635   0.10167  -0.0474   0.0265   1.0000
  20.500   1.5659   0.11443   0.10991  -0.0499   0.0255   1.0000
  21.000   1.5549   0.12272   0.11832  -0.0528   0.0245   1.0000
  21.500   1.5460   0.13079   0.12654  -0.0562   0.0236   1.0000
  22.000   1.5375   0.13890   0.13477  -0.0601   0.0228   1.0000
  22.500   1.5291   0.14704   0.14305  -0.0644   0.0220   1.0000
  23.000   1.5236   0.15477   0.15091  -0.0690   0.0212   1.0000
  23.500   1.5154   0.16301   0.15925  -0.0742   0.0206   1.0000
  24.000   1.5121   0.17044   0.16682  -0.0793   0.0198   1.0000
  24.500   1.5064   0.17828   0.17474  -0.0850   0.0192   1.0000
  25.000   1.5034   0.18574   0.18234  -0.0907   0.0186   1.0000
  25.000   1.5034   0.18573   0.18234  -0.0907   0.0186   1.0000
  25.500   1.5010   0.19305   0.18976  -0.0966   0.0179   1.0000
  26.000   1.4988   0.20025   0.19704  -0.1026   0.0174   1.0000
  26.500   1.4974   0.20742   0.20433  -0.1089   0.0168   1.0000
  27.000   1.4974   0.21415   0.21113  -0.1151   0.0162   1.0000
  27.500   1.4976   0.22096   0.21805  -0.1214   0.0157   1.0000
  28.000   1.4976   0.22777   0.22496  -0.1280   0.0152   1.0000
  28.500   1.5022   0.23334   0.23054  -0.1338   0.0147   1.0000
  29.000   1.4998   0.24072   0.23808  -0.1412   0.0142   1.0000
  29.500   1.5014   0.24704   0.24448  -0.1478   0.0137   1.0000
  30.000   1.5085   0.25179   0.24923  -0.1533   0.0133   1.0000
